"nacionality","sex","age","sport","medal"
"SMR","M",24,"judo","F"
"EGY","M",28,"handball","F"
"FRA","M",41,"equestrian","T"
"KSA","F",22,"athletics","F"
"BEL","F",45,"equestrian","F"
"SWE","F",30,"canoe","F"
"ITA","F",29,"tennis","F"
"TUR","F",33,"athletics","F"
"GER","F",31,"badminton","F"
"KAZ","F",23,"weightlifting","T"
"POL","F",29,"archery","F"
"ISR","F",18,"gymnastics","F"
"PUR","F",31,"volleyball","F"
"FRA","F",37,"golf","F"
"CAN","F",27,"aquatics","F"
"KIR","F",19,"athletics","F"
"EST","M",23,"athletics","F"
"GER","M",28,"rowing","T"
"EST","M",27,"sailing","F"
"GER","M",25,"judo","F"
"GER","F",28,"volleyball","F"
"BHU","F",26,"archery","F"
"POL","M",34,"handball","F"
"POL","M",27,"athletics","F"
"POL","M",27,"volleyball","F"
"POL","M",19,"taekwondo","F"
"POL","M",23,"athletics","F"
"CAN","F",28,"cycling","F"
"POL","F",23,"athletics","F"
"POL","F",26,"canoe","T"
"NOR","F",26,"athletics","F"
"TGA","F",18,"archery","F"
"AUS","F",24,"hockey","F"
"USA","F",23,"volleyball","T"
"GER","M",27,"athletics","F"
"AUS","M",36,"rowing","T"
"NOR","M",20,"athletics","F"
"USA","F",29,"equestrian","T"
"EST","M",29,"rowing","T"
"DEN","M",31,"rowing","T"
"DEN","M",23,"football","F"
"DEN","M",35,"handball","T"
"USA","F",21,"aquatics","F"
"JPN","F",23,"table tennis","T"
"CHN","M",26,"wrestling","F"
"SVK","F",29,"athletics","F"
"MNE","F",32,"handball","F"
"GBR","F",23,"athletics","F"
"SVK","F",23,"aquatics","F"
"SRB","F",22,"aquatics","F"
"POL","F",29,"aquatics","F"
"POL","F",27,"table tennis","F"
"POL","F",24,"gymnastics","F"
"POL","F",30,"judo","F"
"POL","F",31,"athletics","F"
"POL","F",26,"wrestling","F"
"POL","F",22,"cycling","F"
"POL","F",23,"athletics","F"
"USA","F",35,"fencing","F"
"POL","F",24,"aquatics","F"
"RSA","F",25,"rowing","F"
"MRI","F",23,"badminton","F"
"GBR","F",25,"modern pentathlon","F"
"USA","F",28,"athletics","F"
"CAN","F",28,"cycling","F"
"GBR","F",36,"hockey","T"
"USA","F",29,"rowing","T"
"USA","F",28,"hockey","F"
"CZE","F",26,"athletics","F"
"CZE","F",26,"canoe","F"
"CZE","F",39,"cycling","F"
"MKD","F",26,"judo","F"
"CZE","F",27,"athletics","F"
"CAN","F",23,"aquatics","T"
"UKR","F",23,"athletics","F"
"UKR","F",24,"aquatics","F"
"AUS","F",24,"judo","F"
"GER","F",29,"hockey","T"
"USA","F",23,"fencing","F"
"GBR","F",26,"rowing","F"
"GBR","F",30,"gymnastics","F"
"GBR","F",41,"rowing","T"
"DOM","F",25,"taekwondo","F"
"BRA","F",22,"fencing","F"
"CAN","F",24,"basketball","F"
"USA","F",27,"hockey","F"
"USA","F",19,"aquatics","T"
"USA","F",28,"hockey","F"
"USA","F",33,"rowing","F"
"USA","F",26,"hockey","F"
"GER","F",24,"football","F"
"GER","F",32,"athletics","F"
"GER","F",26,"rowing","F"
"AUT","F",24,"judo","F"
"USA","F",25,"rugby sevens","F"
"AUS","F",34,"athletics","F"
"CAN","F",31,"equestrian","F"
"AUS","F",23,"hockey","F"
"EST","F",33,"badminton","F"
"ALG","F",20,"sailing","F"
"GBR","F",22,"cycling","T"
"NZL","F",22,"football","F"
"GBR","F",22,"aquatics","F"
"NZL","F",28,"football","F"
"GBR","F",34,"rowing","T"
"USA","F",19,"aquatics","T"
"AUS","F",26,"basketball","F"
"IRL","F",30,"boxing","F"
"USA","F",27,"triathlon","F"
"HUN","F",27,"aquatics","T"
"DEN","F",22,"sailing","T"
"EST","F",20,"sailing","F"
"BEL","F",34,"triathlon","F"
"AUS","F",35,"cycling","F"
"AUS","F",24,"football","F"
"USA","F",24,"aquatics","F"
"NOR","F",36,"handball","T"
"BLR","F",25,"athletics","F"
"BLR","F",19,"gymnastics","F"
"BLR","F",31,"basketball","F"
"JPN","M",22,"aquatics","F"
"JPN","M",28,"rugby sevens","F"
"JPN","M",27,"aquatics","F"
"GBR","F",23,"cycling","T"
"GBR","F",31,"rugby sevens","F"
"BIZ","F",26,"athletics","F"
"BRA","F",29,"athletics","F"
"EST","M",25,"athletics","F"
"IRI","M",31,"athletics","F"
"IND","F",31,"athletics","F"
"USA","M",29,"volleyball","T"
"GHA","F",14,"aquatics","F"
"USA","F",27,"volleyball","T"
"USA","F",26,"judo","T"
"NZL","F",24,"canoe","F"
"NZL","F",28,"rugby sevens","T"
"CAN","F",26,"rugby sevens","T"
"NZL","F",25,"rowing","F"
"NZL","F",31,"hockey","F"
"RSA","F",22,"football","F"
"CAN","F",28,"football","F"
"JPN","F",34,"athletics","F"
"TUR","F",28,"judo","F"
"JPN","M",23,"rugby sevens","F"
"JPN","M",27,"canoe","F"
"JPN","M",33,"cycling","F"
"JPN","M",25,"rugby sevens","F"
"JPN","M",27,"cycling","F"
"JPN","M",24,"sailing","F"
"JPN","M",20,"athletics","F"
"JPN","M",29,"fencing","F"
"CAN","F",30,"canoe","F"
"RSA","M",23,"football","F"
"CAN","M",25,"hockey","F"
"THA","M",24,"sailing","F"
"AUS","F",26,"aquatics","F"
"MAW","M",22,"athletics","F"
"JPN","F",24,"aquatics","T"
"JPN","M",27,"tennis","T"
"JPN","M",28,"athletics","F"
"JPN","M",26,"aquatics","F"
"JPN","F",30,"sailing","F"
"BRA","F",33,"athletics","F"
"JPN","M",25,"athletics","F"
"JPN","M",30,"athletics","F"
"AUS","M",37,"shooting","F"
"USA","M",41,"shooting","F"
"CAN","F",26,"judo","F"
"USA","F",28,"fencing","F"
"USA","F",28,"football","F"
"JAM","F",23,"athletics","F"
"GRE","F",25,"aquatics","F"
"NZL","F",27,"rugby sevens","T"
"USA","F",21,"cycling","T"
"NED","F",22,"handball","F"
"USA","F",30,"rugby sevens","F"
"NED","F",26,"hockey","T"
"GBR","F",31,"athletics","T"
"USA","F",27,"volleyball","T"
"CAN","F",30,"rugby sevens","T"
"BRA","F",37,"basketball","F"
"MAS","F",23,"golf","F"
"TTO","F",30,"athletics","F"
"COL","F",27,"athletics","F"
"NZL","F",26,"rowing","F"
"USA","F",24,"athletics","F"
"USA","F",25,"hockey","F"
"USA","F",24,"volleyball","T"
"NZL","F",22,"hockey","F"
"AUS","F",25,"aquatics","F"
"AUS","F",25,"athletics","F"
"USA","F",22,"aquatics","T"
"CAN","F",25,"athletics","F"
"VEN","M",29,"fencing","F"
"BIH","M",31,"athletics","F"
"JAM","M",24,"athletics","T"
"CAY","M",27,"athletics","F"
"BRN","M",24,"athletics","F"
"JAM","M",25,"athletics","F"
"SWE","M",23,"football","F"
"JPN","M",36,"aquatics","F"
"AUS","M",33,"canoe","T"
"USA","F",21,"athletics","F"
"CAN","F",20,"athletics","F"
"USA","M",30,"weightlifting","F"
"MEX","F",22,"rowing","F"
"JAM","F",36,"athletics","F"
"JPN","M",30,"badminton","F"
"JPN","M",30,"athletics","F"
"JPN","M",29,"aquatics","F"
"JPN","M",34,"sailing","F"
"JPN","M",24,"rugby sevens","F"
"CAN","F",20,"aquatics","T"
"UGA","M",31,"boxing","F"
"MRI","M",24,"boxing","F"
"USA","M",36,"equestrian","T"
"JPN","M",31,"badminton","F"
"JPN","M",29,"fencing","F"
"JPN","M",22,"athletics","F"
"FRA","M",25,"handball","T"
"JPN","M",27,"aquatics","F"
"ALG","F",36,"athletics","F"
"FRA","F",25,"football","F"
"JPN","M",20,"gymnastics","T"
"ISR","F",26,"aquatics","F"
"GBR","F",29,"aquatics","F"
"NZL","F",23,"rowing","F"
"USA","F",38,"volleyball","T"
"USA","M",31,"athletics","T"
"AUS","F",35,"rowing","F"
"IRL","F",35,"athletics","F"
"USA","F",27,"rowing","T"
"GER","M",24,"cycling","F"
"GER","F",28,"rowing","F"
"AUS","F",23,"aquatics","F"
"TTO","M",23,"athletics","T"
"TTO","M",18,"athletics","F"
"LAT","F",18,"sailing","F"
"USA","F",20,"athletics","F"
"HON","M",20,"football","F"
"COL","M",19,"football","F"
"BEL","M",28,"athletics","F"
"FRA","M",35,"weightlifting","F"
"FRA","M",28,"athletics","F"
"AUS","M",24,"aquatics","F"
"USA","M",23,"aquatics","T"
"GUA","M",30,"badminton","F"
"MON","M",24,"gymnastics","F"
"USA","M",28,"basketball","T"
"AUS","M",30,"basketball","F"
"HON","M",20,"football","F"
"ESP","M",26,"athletics","F"
"FRA","M",24,"athletics","T"
"FRA","M",24,"athletics","F"
"IRL","M",33,"athletics","F"
"FRA","M",36,"equestrian","T"
"FRA","M",26,"volleyball","F"
"FRA","M",27,"volleyball","F"
"CHN","M",21,"aquatics","F"
"SWE","F",22,"athletics","F"
"JOR","M",18,"aquatics","F"
"TUN","F",21,"rowing","F"
"MAR","F",25,"boxing","F"
"MAS","M",25,"archery","F"
"MAS","M",23,"sailing","F"
"UAE","M",31,"shooting","F"
"IOA","M",38,"shooting","F"
"TUN","M",27,"handball","F"
"TUN","M",26,"canoe","F"
"EGY","M",24,"table tennis","F"
"MAR","M",21,"weightlifting","F"
"TTO","F",18,"athletics","F"
"CAN","F",22,"athletics","F"
"RUS","M",23,"judo","T"
"COL","F",24,"rugby sevens","F"
"GEO","F",42,"archery","F"
"MAS","F",27,"badminton","F"
"FRA","F",26,"football","F"
"IND","M",30,"athletics","F"
"AZE","M",33,"wrestling","T"
"UKR","F",28,"athletics","F"
"MGL","M",24,"wrestling","F"
"IND","F",23,"athletics","F"
"CAN","F",20,"basketball","F"
"USA","F",18,"gymnastics","F"
"IRI","M",25,"weightlifting","T"
"USA","M",35,"athletics","F"
"IRL","M",27,"gymnastics","F"
"CAN","F",22,"aquatics","F"
"BAR","F",26,"athletics","F"
"JPN","M",44,"equestrian","F"
"KOR","F",26,"hockey","F"
"NED","F",25,"tennis","F"
"JPN","F",19,"gymnastics","F"
"USA","F",23,"aquatics","T"
"FRA","M",27,"judo","F"
"SWE","M",26,"athletics","F"
"SWE","M",34,"handball","F"
"GER","F",27,"gymnastics","F"
"SKN","M",40,"athletics","F"
"USA","F",30,"athletics","F"
"CAN","F",32,"basketball","F"
"AUS","F",32,"athletics","F"
"NED","F",25,"judo","F"
"FRA","M",28,"basketball","F"
"VIE","M",22,"weightlifting","F"
"AUS","F",31,"rowing","T"
"BEL","F",27,"aquatics","F"
"PER","F",23,"athletics","F"
"USA","F",27,"volleyball","T"
"CAN","F",27,"athletics","F"
"USA","F",37,"shooting","T"
"JAM","F",28,"athletics","F"
"IRI","F",18,"taekwondo","T"
"JPN","M",32,"sailing","F"
"SRI","F",17,"aquatics","F"
"VIN","F",30,"athletics","F"
"HKG","M",25,"cycling","F"
"POL","F",26,"volleyball","F"
"NGR","M",21,"football","T"
"KEN","M",35,"judo","F"
"RUS","F",23,"canoe","F"
"NED","F",22,"aquatics","F"
"GER","F",26,"volleyball","T"
"THA","M",27,"golf","F"
"GRN","M",24,"athletics","T"
"RUS","M",28,"judo","F"
"KAZ","M",20,"table tennis","F"
"RUS","M",24,"shooting","T"
"RUS","M",30,"canoe","F"
"RUS","M",21,"aquatics","F"
"IRL","M",22,"hockey","F"
"BEL","F",30,"tennis","F"
"RSA","F",28,"rowing","F"
"NZL","F",25,"hockey","F"
"CAN","F",28,"triathlon","F"
"NED","F",34,"cycling","F"
"CAN","F",28,"cycling","T"
"PHI","F",27,"taekwondo","F"
"AUS","F",27,"hockey","F"
"GBR","F",23,"badminton","F"
"ZIM","F",33,"aquatics","F"
"NZL","F",30,"football","F"
"HKG","F",28,"athletics","F"
"FIJ","M",23,"rugby sevens","T"
"GBR","F",34,"equestrian","F"
"NED","F",28,"hockey","T"
"TUR","F",24,"athletics","F"
"NOR","M",26,"rowing","T"
"CZE","F",22,"golf","F"
"POL","F",22,"shooting","F"
"POL","F",32,"tennis","F"
"POL","F",24,"athletics","F"
"ARG","M",21,"sailing","F"
"USA","M",26,"basketball","T"
"BRA","M",31,"cycling","F"
"BRA","M",31,"athletics","F"
"PHI","M",23,"judo","F"
"BEL","M",27,"athletics","F"
"JPN","M",28,"cycling","F"
"JPN","M",27,"gymnastics","T"
"JPN","M",31,"cycling","F"
"JPN","M",22,"athletics","F"
"JPN","M",31,"athletics","F"
"JPN","M",26,"aquatics","F"
"JPN","M",27,"gymnastics","T"
"JPN","M",22,"table tennis","T"
"JPN","M",27,"equestrian","F"
"IRI","M",28,"wrestling","T"
"TJK","M",23,"judo","F"
"JPN","F",23,"athletics","F"
"POL","M",19,"athletics","F"
"POL","M",27,"aquatics","F"
"GRE","M",30,"athletics","F"
"GRE","M",29,"athletics","F"
"GRE","M",30,"athletics","F"
"RUS","M",27,"volleyball","F"
"GRE","M",28,"aquatics","F"
"GRE","M",23,"aquatics","F"
"GRE","M",28,"aquatics","F"
"GER","F",19,"athletics","F"
"CAN","M",30,"wrestling","F"
"SWE","F",27,"football","T"
"RUS","M",31,"volleyball","F"
"JPN","M",22,"aquatics","T"
"JPN","M",21,"football","F"
"JPN","M",23,"athletics","F"
"IND","M",24,"hockey","F"
"JPN","F",26,"volleyball","F"
"AUS","F",22,"aquatics","F"
"MAR","F",27,"athletics","F"
"CRO","M",26,"handball","F"
"IND","M",24,"boxing","F"
"CAN","F",39,"athletics","F"
"CHI","F",31,"aquatics","F"
"GRE","F",24,"aquatics","F"
"USA","F",19,"gymnastics","F"
"USA","F",28,"athletics","T"
"NOR","M",22,"triathlon","F"
"SRB","M",32,"wrestling","F"
"GRE","M",23,"aquatics","F"
"USA","M",24,"aquatics","F"
"SWE","M",25,"table tennis","F"
"NOR","M",31,"sailing","F"
"GBR","M",27,"gymnastics","F"
"BUL","M",25,"rowing","F"
"FIN","F",24,"athletics","F"
"CRO","M",29,"cycling","F"
"USA","F",43,"cycling","T"
"GER","F",26,"athletics","F"
"GER","F",30,"equestrian","T"
"GBR","F",46,"equestrian","F"
"CZE","F",28,"badminton","F"
"RUS","F",22,"aquatics","F"
"EST","F",31,"fencing","F"
"FRA","F",23,"tennis","F"
"TJK","F",28,"athletics","F"
"GER","F",32,"hockey","T"
"CAN","F",29,"volleyball","F"
"GER","F",26,"cycling","T"
"GEO","F",31,"archery","F"
"HUN","M",19,"aquatics","F"
"NOR","M",28,"rowing","T"
"AUS","F",38,"equestrian","F"
"CZE","F",24,"rowing","F"
"HUN","M",19,"aquatics","F"
"HUN","M",34,"athletics","F"
"HUN","M",31,"aquatics","F"
"HUN","M",22,"judo","F"
"HUN","F",36,"canoe","T"
"HUN","F",22,"aquatics","F"
"HUN","F",34,"athletics","F"
"CRO","M",31,"basketball","F"
"POL","M",28,"rowing","F"
"POL","M",27,"athletics","F"
"POL","M",33,"handball","F"
"POL","M",25,"cycling","F"
"RUS","F",28,"judo","F"
"RUS","F",27,"archery","T"
"EST","F",30,"athletics","F"
"FRA","F",21,"gymnastics","F"
"UKR","F",22,"fencing","F"
"UKR","F",30,"aquatics","F"
"ZIM","F",26,"football","F"
"PRK","F",23,"weightlifting","T"
"PRK","F",17,"aquatics","F"
"PRK","M",26,"judo","F"
"KOR","M",25,"athletics","F"
"PRK","F",28,"athletics","F"
"IND","F",27,"wrestling","F"
"JPN","F",25,"athletics","F"
"TPE","M",18,"shooting","F"
"THA","M",21,"judo","F"
"IND","M",29,"athletics","F"
"CAM","M",39,"athletics","F"
"MOZ","M",31,"athletics","F"
"GRN","M",28,"athletics","F"
"AUS","M",19,"athletics","F"
"JPN","F",25,"aquatics","T"
"RSA","M",23,"rugby sevens","T"
"HKG","M",19,"table tennis","F"
"RSA","M",23,"football","F"
"AUS","F",25,"football","F"
"KOR","F",26,"shooting","F"
"RSA","M",29,"rugby sevens","T"
"AUS","M",18,"aquatics","T"
"USA","M",26,"athletics","T"
"RSA","M",22,"cycling","F"
"GBR","M",21,"tennis","F"
"GBR","M",23,"cycling","F"
"USA","M",21,"wrestling","T"
"IRL","M",25,"hockey","F"
"TTO","M",28,"athletics","F"
"USA","M",30,"basketball","T"
"CAN","M",23,"judo","F"
"MLT","M",29,"weightlifting","F"
"NED","M",20,"aquatics","F"
"CAN","F",20,"aquatics","T"
"BLR","F",17,"gymnastics","F"
"IND","M",25,"shooting","F"
"PRK","M",27,"wrestling","F"
"PRK","F",26,"judo","F"
"KOR","M",32,"fencing","F"
"CYP","M",32,"athletics","F"
"GRE","M",25,"aquatics","F"
"USA","M",24,"basketball","T"
"KOR","M",22,"football","F"
"KOR","F",26,"badminton","T"
"KOR","F",34,"athletics","F"
"KOR","M",26,"aquatics","F"
"RSA","M",31,"athletics","F"
"AUS","M",28,"canoe","T"
"SVK","M",33,"canoe","T"
"COL","F",24,"football","F"
"COL","F",35,"table tennis","F"
"LAO","F",20,"athletics","F"
"DEN","F",24,"sailing","F"
"AUS","F",26,"shooting","F"
"ISR","F",24,"golf","F"
"CMR","F",23,"volleyball","F"
"FRA","F",29,"basketball","F"
"FRA","F",31,"judo","F"
"FRA","F",25,"football","F"
"ESP","F",37,"basketball","T"
"BRA","F",24,"wrestling","F"
"SEN","F",27,"basketball","F"
"IND","M",22,"athletics","F"
"IND","F",27,"athletics","F"
"AUS","F",53,"shooting","F"
"TTO","M",28,"athletics","F"
"BAH","F",29,"athletics","F"
"GBR","F",27,"canoe","F"
"BAR","F",23,"aquatics","F"
"CAN","F",32,"athletics","F"
"CAY","F",22,"aquatics","F"
"ESP","F",24,"handball","F"
"FRA","F",25,"aquatics","F"
"GBR","F",28,"equestrian","F"
"GER","F",25,"athletics","F"
"TUR","F",30,"basketball","F"
"BRA","F",29,"aquatics","F"
"AUT","F",22,"sailing","F"
"BEN","F",16,"aquatics","F"
"ALG","M",28,"athletics","F"
"BIH","F",25,"judo","F"
"BRA","F",24,"handball","F"
"AUS","F",20,"football","F"
"BRA","F",34,"volleyball","F"
"BRA","F",23,"aquatics","F"
"AUS","F",24,"gymnastics","F"
"GER","M",27,"football","T"
"GER","M",26,"volleyball","F"
"SUI","M",23,"cycling","F"
"NOR","M",32,"cycling","F"
"GER","M",30,"rowing","F"
"GEO","M",24,"judo","T"
"GEO","M",23,"weightlifting","T"
"GEO","M",23,"athletics","F"
"USA","M",30,"athletics","T"
"TUR","F",28,"canoe","F"
"DEN","M",24,"cycling","T"
"DEN","M",33,"handball","T"
"DEN","M",29,"football","F"
"HUN","M",31,"aquatics","T"
"HUN","M",29,"judo","F"
"BAH","M",22,"athletics","F"
"AUS","F",27,"football","F"
"LTU","F",32,"modern pentathlon","F"
"FRA","F",24,"aquatics","F"
"GER","F",24,"football","T"
"CAN","F",30,"cycling","T"
"ROU","F",27,"handball","F"
"NED","F",26,"volleyball","F"
"ESP","F",26,"aquatics","F"
"ESP","F",24,"basketball","T"
"ITA","F",27,"volleyball","F"
"FRA","F",23,"handball","T"
"ESP","F",32,"judo","F"
"COL","F",23,"rugby sevens","F"
"USA","F",29,"equestrian","T"
"AUS","F",33,"basketball","F"
"LAT","F",24,"athletics","F"
"USA","F",51,"equestrian","F"
"GER","F",20,"triathlon","F"
"ESP","F",28,"aquatics","F"
"GER","F",30,"volleyball","T"
"FRA","F",23,"aquatics","F"
"ITA","F",32,"rowing","F"
"GBR","F",23,"athletics","F"
"GER","F",21,"athletics","F"
"ESP","F",27,"basketball","T"
"NED","F",21,"hockey","F"
"EST","F",22,"archery","F"
"ROU","F",22,"rowing","T"
"ESP","F",20,"basketball","T"
"AND","F",30,"judo","F"
"HUN","F",24,"badminton","F"
"GER","F",28,"tennis","F"
"NED","F",23,"cycling","F"
"ITA","F",25,"aquatics","T"
"GBR","F",24,"cycling","T"
"GBR","F",28,"hockey","T"
"GER","F",26,"judo","T"
"BEL","F",19,"gymnastics","F"
"GBR","F",25,"athletics","F"
"GBR","F",31,"athletics","F"
"USA","F",17,"gymnastics","F"
"NED","F",21,"athletics","F"
"NED","F",26,"handball","F"
"PUR","F",28,"equestrian","F"
"NZL","F",29,"aquatics","F"
"USA","F",31,"hockey","F"
"USA","F",25,"rugby sevens","F"
"NZL","F",27,"cycling","F"
"USA","F",34,"volleyball","F"
"USA","F",16,"gymnastics","T"
"USA","F",29,"equestrian","F"
"FRA","F",24,"fencing","F"
"AUS","F",25,"cycling","F"
"USA","F",28,"rowing","T"
"GBR","F",25,"badminton","F"
"AUS","F",28,"athletics","F"
"CAN","F",27,"rowing","F"
"AUT","F",42,"archery","F"
"FRA","F",40,"shooting","F"
"GBR","M",32,"fencing","F"
"BEL","M",21,"cycling","F"
"LUX","M",27,"aquatics","F"
"BRA","M",22,"rugby sevens","F"
"ISV","M",26,"boxing","F"
"FRA","F",25,"cycling","F"
"NED","F",22,"hockey","T"
"NED","F",29,"cycling","F"
"FRA","F",31,"handball","T"
"GER","M",26,"rowing","T"
"ARG","M",23,"football","F"
"FIJ","F",26,"rugby sevens","F"
"ISV","F",35,"athletics","F"
"RSA","M",26,"rowing","T"
"GBR","M",26,"athletics","F"
"JOR","M",31,"triathlon","F"
"GBR","M",24,"boxing","F"
"IND","F",27,"archery","F"
"CUB","M",25,"boxing","T"
"CUB","M",19,"athletics","F"
"USA","F",33,"cycling","F"
"FRA","F",24,"canoe","F"
"SUI","F",26,"athletics","F"
"AUS","F",27,"aquatics","F"
"CAN","F",26,"cycling","F"
"AUS","F",21,"aquatics","T"
"JAM","F",24,"athletics","F"
"USA","F",21,"aquatics","T"
"IND","M",43,"tennis","F"
"RSA","F",27,"football","F"
"CAN","M",24,"cycling","F"
"BRA","M",34,"basketball","F"
"ARG","M",23,"boxing","F"
"POR","M",22,"football","F"
"ARG","M",20,"football","F"
"CUB","M",20,"athletics","F"
"AUS","F",25,"badminton","F"
"LES","M",34,"athletics","F"
"RSA","M",20,"football","F"
"RSA","M",26,"athletics","F"
"RSA","F",25,"football","F"
"USA","F",22,"fencing","F"
"CAN","M",28,"sailing","F"
"RSA","F",28,"rowing","F"
"BAH","M",35,"athletics","F"
"CHN","M",24,"gymnastics","T"
"CHN","M",33,"sailing","F"
"UKR","M",29,"table tennis","F"
"BRA","F",31,"volleyball","F"
"COL","F",20,"football","F"
"COL","F",19,"football","F"
"COL","F",26,"weightlifting","F"
"VEN","F",32,"archery","F"
"EGY","F",20,"aquatics","F"
"EST","F",31,"athletics","F"
"AUS","F",31,"basketball","F"
"CUB","M",24,"boxing","F"
"PUR","F",31,"weightlifting","F"
"ETH","M",22,"athletics","F"
"GER","F",30,"football","T"
"AUT","F",19,"aquatics","F"
"GER","F",30,"modern pentathlon","F"
"GER","F",24,"athletics","F"
"BHU","F",24,"shooting","F"
"ECU","M",23,"judo","F"
"CZE","F",25,"rowing","F"
"GBR","F",30,"athletics","F"
"ARG","M",31,"basketball","F"
"GER","M",21,"football","F"
"IRL","F",22,"golf","F"
"USA","M",30,"athletics","F"
"SIN","M",24,"sailing","F"
"GER","M",23,"football","F"
"CRC","M",32,"triathlon","F"
"ARG","M",34,"handball","F"
"BRA","M",22,"handball","F"
"BRA","M",25,"aquatics","F"
"FIJ","M",28,"rugby sevens","T"
"CUB","M",29,"athletics","F"
"DOM","M",22,"boxing","F"
"UZB","M",33,"athletics","F"
"GER","F",23,"gymnastics","F"
"GER","F",19,"aquatics","F"
"GER","F",17,"aquatics","F"
"GER","F",24,"football","T"
"ESP","F",25,"basketball","T"
"CAN","F",22,"fencing","F"
"CYP","F",22,"athletics","F"
"CZE","M",29,"cycling","F"
"FSM","F",19,"athletics","F"
"CAN","F",57,"rowing","F"
"FIJ","M",28,"athletics","F"
"SKN","M",24,"athletics","F"
"ARG","F",31,"volleyball","F"
"ESP","F",21,"basketball","T"
"BRA","F",20,"athletics","F"
"CUB","M",39,"shooting","F"
"ARM","M",26,"wrestling","F"
"GER","M",28,"taekwondo","F"
"LCA","F",32,"athletics","F"
"BAR","M",21,"athletics","F"
"ARM","M",21,"athletics","F"
"AUS","M",23,"rugby sevens","F"
"NZL","M",22,"rugby sevens","F"
"USA","F",21,"golf","F"
"USA","F",20,"athletics","F"
"CUB","F",24,"modern pentathlon","F"
"IRI","F",33,"athletics","F"
"CHN","F",34,"shooting","T"
"CHN","F",23,"aquatics","T"
"CHN","F",24,"volleyball","T"
"CHN","F",25,"football","F"
"USA","F",21,"aquatics","T"
"CUB","F",20,"athletics","F"
"AUS","M",30,"athletics","F"
"ITA","M",24,"cycling","F"
"GBR","M",32,"canoe","T"
"GBR","M",27,"cycling","F"
"GBR","M",23,"table tennis","F"
"CHN","F",22,"triathlon","F"
"COL","F",24,"football","F"
"PAK","F",19,"aquatics","F"
"BEL","F",26,"badminton","F"
"ITA","F",33,"athletics","F"
"CZE","F",24,"shooting","F"
"CUB","F",23,"rowing","F"
"NED","F",26,"hockey","T"
"ESP","F",31,"weightlifting","T"
"CPV","F",22,"athletics","F"
"UKR","F",23,"archery","F"
"NED","F",25,"gymnastics","F"
"NED","M",27,"athletics","F"
"NED","F",26,"rowing","F"
"EST","F",24,"athletics","F"
"EST","F",31,"athletics","F"
"CHN","F",29,"sailing","F"
"CHN","F",27,"athletics","F"
"CHN","M",23,"weightlifting","F"
"CHN","M",27,"aquatics","F"
"GRE","M",26,"athletics","F"
"MDA","F",27,"athletics","F"
"ESA","F",30,"shooting","F"
"NED","F",25,"sailing","F"
"ESP","F",29,"volleyball","F"
"MEX","F",25,"aquatics","F"
"ANG","F",19,"athletics","F"
"HUN","F",20,"aquatics","F"
"ANG","F",21,"handball","F"
"IND","F",22,"hockey","F"
"ARM","F",23,"athletics","F"
"INA","F",31,"badminton","T"
"USA","F",19,"aquatics","T"
"EST","F",31,"athletics","F"
"GBR","F",22,"hockey","T"
"USA","F",20,"table tennis","F"
"BRA","F",23,"table tennis","F"
"CHN","F",21,"aquatics","F"
"FRA","F",25,"rugby sevens","F"
"GER","F",22,"football","F"
"COL","F",26,"weightlifting","F"
"LTU","F",29,"rowing","F"
"CHN","F",25,"football","F"
"SWE","F",44,"equestrian","F"
"ISR","F",28,"judo","F"
"ITA","F",23,"aquatics","F"
"SUI","F",23,"sailing","F"
"SUI","F",23,"cycling","F"
"RSA","F",18,"football","F"
"FIN","F",27,"athletics","F"
"SWE","F",29,"football","T"
"GER","F",31,"athletics","F"
"NZL","F",31,"cycling","F"
"BUL","F",29,"badminton","F"
"INA","F",26,"badminton","F"
"AUS","F",25,"athletics","F"
"ZIM","F",25,"football","F"
"MEX","M",22,"boxing","F"
"GRN","M",23,"athletics","F"
"RSA","M",23,"athletics","F"
"CAN","F",34,"rowing","T"
"USA","F",34,"basketball","T"
"BLR","F",32,"basketball","F"
"USA","F",22,"football","F"
"DEN","F",22,"badminton","F"
"KEN","F",20,"rugby sevens","F"
"CHN","F",27,"athletics","F"
"CHN","F",19,"rowing","F"
"CHN","F",24,"gymnastics","F"
"CHN","F",21,"athletics","F"
"CHN","F",27,"athletics","F"
"SWE","F",24,"handball","F"
"NOR","F",32,"handball","T"
"SWE","F",22,"canoe","F"
"SWE","F",33,"handball","F"
"MEX","M",25,"badminton","F"
"GER","M",29,"hockey","T"
"CUB","M",33,"rowing","F"
"GER","F",27,"hockey","T"
"GER","F",28,"cycling","F"
"NZL","F",27,"canoe","T"
"SWE","F",29,"football","T"
"AUS","F",25,"sailing","T"
"AUT","F",24,"gymnastics","F"
"SWE","F",28,"sailing","F"
"GER","F",24,"aquatics","F"
"GER","F",27,"athletics","F"
"AUS","F",37,"athletics","F"
"GER","F",20,"cycling","F"
"GER","F",20,"athletics","F"
"SWE","F",32,"triathlon","F"
"CAN","F",27,"rowing","F"
"GER","F",28,"athletics","F"
"GER","F",25,"rowing","T"
"GER","F",20,"hockey","T"
"GER","F",28,"archery","T"
"GER","F",29,"football","F"
"AUT","F",22,"aquatics","F"
"AUS","F",32,"football","F"
"CUB","F",29,"cycling","F"
"ARG","M",23,"football","F"
